PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
76,1,2,"Thompson, Mrs. Ida",female,,0,4,718819,13.8217,,S
77,0,2,"Robinson, Mr. John",male,23.99,0,0,526749,13.7823,,S
78,0,3,"Jones, Mr. Robert",male,33.64,0,0,30217,2.8914,,Q
79,0,3,"Harris, Mr. Frank",male,37.12,1,0,960402,6.646,,Q
80,0,3,"Moore, Mr. James",male,31.29,0,0,828135,14.1506,,C
81,0,3,"Anderson, Mr. Edward",male,21.61,0,0,358682,15.7386,,S
82,1,2,"Taylor, Master. Robert",male,,1,0,498681,26.0512,,S
83,0,3,"Thomas, Mrs. Emily",female,35.0,1,0,132132,1.8458,,S
84,0,1,"Thomas, Major. Henry",male,53.88,1,0,937371,54.4047,A103,S
85,1,1,"Davis, Mr. Frank",male,,0,0,238322,19.969,,S
86,0,1,"Garcia, Mr. Robert",male,26.56,0,1,383982,83.6084,,C
87,0,3,"Miller, Mr. James",male,33.76,0,0,434264,2.353,,S
88,1,3,"Wilson, Mr. James",male,36.19,0,0,270541,4.2576,,S
89,0,1,"Harris, Mr. James",male,58.26,0,0,638338,121.1647,,Q
90,1,3,"White, Miss. Florence",female,13.61,0,6,995104,7.3088,,S
91,0,1,"Robinson, Miss. Margaret",female,,0,0,856700,172.7562,,S
92,0,3,"Davis, Miss. Elizabeth",female,,0,0,535370,17.7331,,C
93,1,2,"Anderson, Mr. Robert",male,,0,1,139655,13.8833,D125,S
94,0,2,"Williams, Mr. Thomas",male,15.47,0,0,864549,32.8457,,S
95,1,2,"White, Miss. Anna",female,35.39,1,0,264172,14.8303,,S
96,0,3,"Jackson, Mr. William",male,32.52,1,0,911945,18.9854,,C
97,0,2,"Brown, Mr. Charles",male,31.14,0,0,401476,9.5313,,S
98,1,1,"Martin, Mr. James",male,40.85,0,0,523283,139.976,F101,S
99,1,1,"Wilson, Mrs. Nora",female,34.64,0,0,442323,15.9489,,S
100,0,3,"Wilson, Mr. James",male,44.22,0,0,461156,4.2516,C32,S
101,1,3,"Moore, Miss. Emily",female,13.29,1,1,173329,4.9657,F144,C
102,1,3,"Robinson, Miss. Emily",female,17.36,0,0,557356,6.9582,,S
103,0,2,"Johnson, Mr. Henry",male,,0,0,408941,21.7269,,S
104,1,3,"Martin, Miss. Emily",female,36.43,0,1,849261,11.3657,,S
105,0,3,"Garcia, Master. Edward",male,5.53,0,0,482447,19.1379,,S
106,0,3,"Jones, Master. Charles",male,7.97,0,1,965012,25.08,,S
107,0,3,"Anderson, Master. Charles",male,0.42,0,0,303699,2.3008,,S
108,1,2,"Jackson, Mrs. Helen",female,30.43,3,0,335038,40.6106,,S
109,0,1,"Williams, Mr. George",male,23.46,0,0,46357,59.7221,,S
110,0,3,"Smith, Mr. George",male,20.0,0,0,741243,35.0834,,C
111,0,3,"Moore, Mr. Robert",male,33.6,0,1,82736,6.1283,,Q
112,0,1,"Robinson, Mr. Robert",male,29.66,0,1,292520,9.8868,,S
113,0,2,"Johnson, Mr. William",male,33.01,0,4,911445,26.7458,,S
114,0,3,"Martin, Mr. James",male,,0,0,614842,17.0977,,S
115,1,1,"Taylor, Mr. Charles",male,46.74,1,1,563190,26.7303,,S
116,0,3,"Garcia, Miss. Mary",female,,0,0,806740,4.7817,E14,S
117,0,3,"Smith, Mr. George",male,16.0,0,2,773777,20.1407,,Q
118,0,3,"Brown, Miss. Helen",female,22.81,0,0,887620,15.03,,C
119,0,2,"Miller, Mr. George",male,43.57,0,1,668620,13.4453,,S
120,1,3,"Smith, Mrs. Emily",female,,0,0,454228,16.1387,,Q
121,0,3,"Anderson, Master. James",male,,1,0,139354,13.9664,,S
122,0,3,"Miller, Mr. James",male,,0,0,376057,5.2603,,S
123,1,1,"Smith, Miss. Emily",female,23.9,0,0,708190,129.925,,S
124,0,2,"Moore, Mr. Henry",male,48.36,1,0,260916,27.5826,,S
125,0,1,"Miller, Mr. Edward",male,,0,4,674264,70.8988,,C
126,0,3,"Jackson, Miss. Emily",female,,0,0,142082,20.1498,E58,S
127,0,2,"Thompson, Miss. Helen",female,32.04,0,0,69811,56.8354,,S
128,0,1,"Harris, Mr. Edward",male,35.28,0,0,371268,28.9968,F77,S
129,0,1,"Moore, Mr. Edward",male,46.82,0,0,237578,57.0874,,C
130,1,3,"Thompson, Miss. Helen",female,20.18,1,0,873257,9.6788,,S
131,1,1,"Jackson, Miss. Mary",female,41.06,1,2,384490,121.6769,,S
132,0,3,"Moore, Miss. Mary",female,36.34,1,5,424621,6.8858,G45,S
133,0,3,"Williams, Mr. William",male,17.7,8,0,409468,19.0815,,C
134,1,2,"Taylor, Miss. Florence",female,,1,0,324119,11.3546,,S
135,0,3,"Martinez, Master. Edward",male,9.47,1,0,918546,4.2328,,S
136,1,1,"Moore, Miss. Margaret",female,24.16,1,1,741740,74.0989,F64,C
137,0,3,"Harris, Master. Robert",male,1.23,1,0,167258,7.4514,,S
138,0,3,"Garcia, Miss. Helen",female,34.49,1,0,223428,12.9977,,S
139,0,3,"White, Mr. Robert",male,48.52,2,3,90197,15.3574,,S
140,0,1,"Jackson, Mr. Henry",male,56.53,0,1,263723,15.2791,,S
141,0,3,"Johnson, Mrs. Anna",female,3.86,0,0,660007,8.1802,E72,S
142,0,3,"Anderson, Mr. William",male,34.42,0,0,936548,12.0927,,S
143,1,3,"Harris, Miss. Alice",female,43.49,1,0,486821,20.2094,,S
144,0,3,"Robinson, Mr. Robert",male,19.06,0,0,90773,18.5282,,S
145,0,3,"Wilson, Mrs. Mary",female,26.32,1,0,56910,5.669,,S
146,0,2,"Jones, Master. Robert",male,3.9,1,0,420484,15.0478,D32,Q
147,0,2,"Martin, Mr. William",male,33.47,3,0,272041,23.8426,F112,S
148,0,3,"Jones, Master. William",male,11.17,0,0,580983,9.5193,A93,S
149,0,2,"Thomas, Rev. Edward",male,32.6,1,0,127104,9.2253,,S
150,1,1,"Robinson, Mr. James",male,17.7,1,0,237957,67.6704,C12,S
151,0,3,"Thompson, Miss. Margaret",female,,2,2,560277,14.8752,,S
152,0,3,"Thompson, Mrs. Mary",female,38.32,1,0,288202,5.1938,F68,S
153,1,1,"Jackson, Miss. Nora",female,27.82,0,2,371057,105.3034,,S
154,0,3,"Smith, Master. Edward",male,10.22,0,0,229626,12.6296,,S
155,1,1,"Williams, Master. Thomas",male,9.97,0,0,60992,108.0036,,C
156,0,3,"Harris, Mr. Thomas",male,21.54,5,1,351733,10.8501,F59,C
157,1,2,"Garcia, Miss. Margaret",female,22.44,0,0,336424,51.291,,C
158,1,3,"Moore, Mrs. Emily",female,4.84,1,0,899519,14.6689,,S
159,0,3,"Brown, Mr. William",male,,1,0,893791,19.0237,,S
160,0,3,"Johnson, Miss. Ida",female,19.15,0,0,437271,17.1256,,S
161,0,1,"Jones, Mr. Charles",male,24.02,0,0,295103,61.0357,,C
162,0,3,"Taylor, Mr. William",male,17.79,0,0,423650,13.736,D14,Q
163,1,1,"Martin, Mr. Thomas",male,51.93,1,0,611817,43.0574,,Q
164,0,1,"Thomas, Mr. Henry",male,45.84,0,0,392714,200.226,,S
165,0,3,"Williams, Miss. Nora",female,23.31,0,0,758585,15.848,,C
166,1,2,"Williams, Miss. Mary",female,38.05,1,0,964473,8.7585,,S
167,0,3,"Smith, Master. Robert",male,9.91,0,0,409312,27.8574,,C
168,0,3,"Thompson, Mr. William",male,25.42,1,0,126126,10.3521,F43,S
169,1,2,"Martin, Miss. Alice",female,31.92,0,0,129604,31.268,,S
170,0,3,"Williams, Mrs. Alice",female,18.89,0,0,873155,2.4197,,S
171,0,2,"Jones, Mr. Robert",male,35.66,0,0,421934,36.7085,,Q
172,0,3,"Anderson, Mr. Edward",male,14.85,0,0,333889,15.3884,D129,S
173,0,2,"Thomas, Mr. Robert",male,36.63,0,0,623203,8.1576,,S
174,0,3,"Harris, Mr. Frank",male,32.17,1,0,956945,15.1977,,S
175,1,1,"Jones, Mrs. Ida",female,,0,6,430406,187.1201,,S
176,1,1,"Thompson, Mr. Frank",male,53.47,0,2,322074,44.1317,,Q
177,1,2,"Miller, Miss. Margaret",female,,0,0,864092,10.6511,,S
178,0,3,"Moore, Mr. John",male,16.99,0,0,92045,9.8383,,S
179,0,3,"Davis, Mr. John",male,38.33,2,0,845826,12.0082,,C
180,0,3,"Brown, Miss. Helen",female,20.88,0,1,524840,21.8376,,S
181,0,3,"Williams, Master. Charles",male,,8,1,29957,15.9996,,S
182,1,3,"Moore, Master. James",male,10.78,0,0,235586,9.8317,,S
183,1,3,"Thompson, Miss. Nora",female,38.35,0,0,682431,14.1662,,S
184,1,2,"Jackson, Mrs. Emily",female,,0,0,755459,50.6195,,S
185,0,3,"Jones, Mr. Henry",male,39.68,0,1,203666,17.9773,A53,S
186,0,3,"Martin, Mr. Charles",male,,1,1,660731,10.6563,B32,S
187,0,2,"Harris, Mr. Thomas",male,14.5,0,0,989373,14.3795,,C
188,0,1,"Jackson, Mr. John",male,30.42,0,0,689603,83.1932,,C
189,0,3,"Davis, Master. John",male,11.78,0,0,705423,21.6562,,C
190,0,2,"Davis, Mr. Henry",male,41.26,0,0,201554,9.5449,,S
191,0,3,"Brown, Mrs. Ida",female,,2,2,641120,19.682,,S
192,1,1,"Miller, Miss. Alice",female,,3,0,711543,64.3463,,Q
193,1,1,"Anderson, Mrs. Anna",female,,1,0,119536,71.726,,C
194,0,3,"Brown, Miss. Margaret",female,13.78,1,0,318217,51.7089,C21,S
195,1,1,"Johnson, Miss. Helen",female,54.82,1,0,883764,112.4243,,S
196,1,1,"Anderson, Miss. Ida",female,20.45,0,1,998686,46.8623,,S
197,0,3,"Garcia, Mrs. Margaret",female,45.85,1,0,181471,15.3568,,S
198,0,3,"Thompson, Mr. James",male,,0,1,734449,22.3935,,S
199,1,1,"Moore, Mr. Frank",male,22.89,1,0,506607,113.276,D3,S
200,1,2,"Taylor, Mr. Edward",male,,3,0,594506,1.9448,,Q
201,0,3,"Garcia, Rev. Charles",male,,0,0,515817,11.3404,,S
202,0,3,"Miller, Master. George",male,,1,0,868445,15.8339,,S
203,0,3,"Garcia, Mr. Thomas",male,26.23,2,0,450660,14.9464,B46,S
204,0,1,"Thompson, Mr. Robert",male,22.04,0,0,593417,49.9668,,C
205,0,1,"Jones, Master. George",male,9.66,0,0,672579,114.6146,,C
206,0,1,"Moore, Mr. Frank",male,33.06,2,0,557221,150.8479,C14,S
207,1,1,"Martinez, Mrs. Florence",female,,3,0,880834,15.7994,,S
208,1,3,"Wilson, Miss. Ida",female,15.22,0,0,244942,2.3292,,S
209,0,1,"Moore, Mr. Frank",male,26.18,0,1,948524,93.5719,,C
210,0,3,"Williams, Master. George",male,13.67,1,2,681330,19.7603,,S
211,0,3,"Moore, Mr. John",male,51.01,0,0,960454,7.2228,,C
212,1,3,"Jones, Miss. Helen",female,25.73,0,1,380897,1.3979,,S
213,1,1,"Brown, Miss. Anna",female,41.19,0,0,484051,70.4012,G61,S
214,0,3,"Johnson, Master. James",male,,0,6,52651,15.1056,,S
215,1,3,"Moore, Mrs. Alice",female,16.5,0,0,924739,9.2349,C70,S
216,0,3,"Jackson, Mr. George",male,27.8,0,0,817900,22.7683,,S
217,0,1,"Anderson, Mr. Thomas",male,24.68,0,0,303341,88.6713,,S
218,1,1,"Jones, Mrs. Helen",female,49.8,1,1,61354,40.4618,,C
219,0,3,"Johnson, Master. Henry",male,,0,0,699872,7.1769,,S
220,0,2,"Wilson, Mr. William",male,26.28,0,0,675576,17.46,,Q
221,0,2,"Williams, Mr. George",male,22.38,0,0,532398,13.0986,D14,S
222,0,3,"Wilson, Rev. Thomas",male,27.14,0,0,165153,2.171,,S
223,1,3,"Brown, Miss. Alice",female,,0,1,919205,13.5892,F76,Q
224,0,3,"Martinez, Miss. Ida",female,21.48,0,0,438243,7.3322,,C
225,1,2,"Martin, Mr. George",male,26.93,0,0,727317,12.535,,S
226,0,3,"Garcia, Mr. Robert",male,15.45,0,0,860499,4.691,F116,S
227,1,1,"Thompson, Miss. Florence",female,,0,0,552842,190.3249,,S
228,0,3,"Davis, Mr. Robert",male,28.1,0,0,103475,17.5959,,S
229,1,3,"Anderson, Miss. Mary",female,23.85,2,1,888837,36.0929,,S
230,1,1,"Harris, Miss. Elizabeth",female,,1,3,670478,56.4027,,S
231,0,1,"Wilson, Mr. John",male,48.36,0,0,895437,112.1503,G77,S
232,1,2,"Taylor, Mrs. Margaret",female,26.93,0,0,616491,20.5905,,S
233,0,3,"Brown, Mr. Henry",male,,0,0,908377,6.8159,G94,Q
234,0,3,"Martin, Mr. William",male,,0,0,868853,9.1259,,C
235,0,3,"Johnson, Dr. Henry",male,47.06,0,0,223478,17.5734,A65,C
236,0,3,"White, Master. George",male,,0,0,181007,4.6849,,S
237,1,3,"Jackson, Miss. Mary",female,35.01,0,0,168627,22.9197,,S
238,1,3,"Taylor, Mrs. Anna",female,0.42,0,0,801788,12.9555,F123,S
239,1,1,"White, Miss. Nora",female,40.82,1,0,247982,128.334,,S
240,1,1,"Anderson, Miss. Emily",female,58.48,1,1,455619,92.8782,,S
241,1,3,"White, Mr. Thomas",male,31.35,1,0,790094,2.5983,F73,S
242,0,3,"Smith, Mr. William",male,27.22,0,0,434357,11.3469,,S
243,1,1,"Miller, Mrs. Helen",female,30.71,0,2,71234,142.5723,,S
244,0,3,"Moore, Mrs. Helen",female,25.4,0,0,368166,12.8172,,S
245,0,3,"Taylor, Mr. Thomas",male,21.72,1,0,103644,11.5654,,S
246,0,3,"Martin, Rev. James",male,14.78,0,0,391718,12.8081,,S
247,0,3,"Robinson, Mr. Thomas",male,21.23,0,0,739351,1.9874,,S
248,0,2,"Smith, Mr. William",male,32.58,0,0,524759,37.2084,E71,Q
249,0,2,"Robinson, Miss. Ida",female,,2,0,678127,1.4844,B55,S
250,0,2,"Taylor, Mr. George",male,19.52,0,0,115731,42.3991,C89,C
251,0,3,"Smith, Mrs. Florence",female,,0,0,752643,8.6947,,C
252,0,3,"White, Miss. Margaret",female,30.08,0,0,430814,15.9013,,S
253,1,3,"Davis, Miss. Ida",female,32.09,0,0,294123,1.7973,,S
254,0,2,"Moore, Mr. Robert",male,33.01,0,0,655460,29.3507,D105,S
255,0,1,"Wilson, Mr. Charles",male,,0,0,143486,106.6462,,S
256,0,3,"Miller, Miss. Florence",female,26.14,0,1,503209,16.6684,,S
257,1,3,"Garcia, Mrs. Helen",female,30.1,1,0,427958,1.7035,,C
258,0,1,"Jones, Mr. Charles",male,41.95,0,0,174171,37.1959,C100,Q
259,1,1,"Anderson, Miss. Emily",female,36.81,1,0,952681,93.225,,S
260,0,3,"Martin, Mr. Charles",male,18.1,0,0,369420,24.419,B11,S
261,1,1,"Davis, Miss. Emily",female,66.78,1,2,50360,32.5525,E48,S
262,0,3,"Williams, Mr. Frank",male,,0,0,448531,5.4406,,C
263,0,2,"Garcia, Dr. Edward",male,21.34,0,0,966993,21.7051,,S
264,0,1,"Moore, Mr. Henry",male,,0,2,672185,299.0314,,S
265,0,3,"Anderson, Mr. George",male,28.27,3,0,640372,6.9174,,C
266,0,1,"Garcia, Mr. John",male,19.74,0,0,901757,52.8011,,S
267,0,2,"Martin, Mr. Frank",male,44.59,1,0,93077,11.4142,E29,S
268,0,1,"Anderson, Mr. James",male,,1,0,554871,64.4605,,S
269,1,1,"Martin, Miss. Elizabeth",female,,0,0,327608,157.6603,,S
270,0,1,"Garcia, Mr. Edward",male,53.45,0,0,679603,67.0943,B109,S
271,1,1,"Wilson, Miss. Alice",female,46.13,0,0,854203,317.5655,,S
272,1,1,"Smith, Mrs. Alice",female,21.56,0,1,86417,76.5237,,S
273,0,1,"Johnson, Mr. Thomas",male,61.1,0,0,166602,167.8064,F64,C
274,0,3,"Jackson, Mr. Robert",male,,0,0,954921,9.128,,S
275,0,3,"Thompson, Mrs. Mary",female,24.87,0,0,497041,3.8215,,Q
276,1,2,"Anderson, Miss. Anna",female,50.67,0,0,322056,16.3538,,S
277,0,2,"Johnson, Mr. Robert",male,32.07,1,0,160718,25.2028,,C
278,1,3,"Miller, Miss. Helen",female,24.63,0,1,360748,6.1132,,S
279,0,3,"Garcia, Mr. Edward",male,16.42,1,0,14949,24.5588,,C
280,0,3,"Harris, Rev. George",male,32.56,0,0,230614,7.9334,,S
281,1,1,"Wilson, Miss. Elizabeth",female,,0,0,191176,28.7729,,S
282,0,1,"Martinez, Mr. George",male,38.19,0,0,93823,279.681,,S
283,1,1,"Thomas, Mrs. Mary",female,27.73,0,0,969334,35.8049,A102,S
284,0,2,"Taylor, Mr. Frank",male,,0,2,792145,11.5881,,Q
285,0,3,"Taylor, Mrs. Emily",female,24.09,3,0,940975,18.806,C117,Q
286,0,2,"Thompson, Master. James",male,12.66,0,0,248084,13.2906,,C
287,1,1,"Martinez, Mr. Henry",male,18.87,0,6,295538,29.7355,,S
288,0,2,"Moore, Mr. Edward",male,37.35,0,0,289860,10.6699,,C
289,0,3,"Johnson, Master. William",male,0.42,0,2,562925,37.656,,C
290,1,1,"Williams, Miss. Emily",female,40.67,0,0,189978,105.8491,,S
291,1,3,"Garcia, Dr. Frank",male,18.78,0,0,243128,19.6827,,S
292,1,1,"Harris, Mr. John",male,55.01,0,2,975135,85.8427,,S
293,0,3,"Martinez, Mr. John",male,18.58,0,0,358651,15.7497,,S
294,0,1,"Anderson, Mr. Frank",male,,0,0,783223,51.234,,S
295,0,3,"Garcia, Mrs. Nora",female,19.84,8,0,236666,12.7593,C69,C
296,0,3,"Thomas, Mr. George",male,,0,0,930599,1.5315,,S
297,0,3,"Moore, Miss. Florence",female,34.58,0,0,696892,22.2581,,S
298,0,3,"White, Mr. Frank",male,,3,0,863105,8.2949,,S
299,0,3,"Thomas, Mrs. Alice",female,37.96,0,0,521202,4.1477,,C
300,1,3,"Brown, Master. James",male,,0,0,907232,13.3009,,Q
301,0,3,"Moore, Mr. William",male,28.83,1,0,369025,9.9385,,C
302,0,1,"Jackson, Mrs. Nora",female,49.99,2,0,484243,133.2021,B132,S
303,0,3,"Harris, Miss. Ida",female,33.58,1,0,70963,11.1129,,S
304,0,3,"Thomas, Mrs. Nora",female,49.91,0,0,178835,7.0023,,S
305,0,3,"Martinez, Mr. John",male,15.08,5,0,773485,11.3171,,S
306,0,3,"Jackson, Master. George",male,7.07,0,0,333611,29.4572,,S
307,1,2,"Robinson, Mrs. Florence",female,17.07,8,0,110985,33.2403,A31,S
308,0,3,"Smith, Mr. Robert",male,33.59,1,0,299526,17.2322,,S
309,0,2,"Williams, Miss. Elizabeth",female,36.47,2,0,359272,34.218,,S
310,1,1,"Johnson, Mr. Edward",male,39.33,0,0,719961,111.384,,C
311,0,3,"Taylor, Master. Frank",male,,0,6,99597,5.475,,S
312,0,2,"Robinson, Miss. Emily",female,39.97,0,2,35415,29.6158,,
313,1,1,"Taylor, Miss. Elizabeth",female,22.08,0,0,726873,151.5081,,S
314,1,2,"Martin, Mr. George",male,45.07,0,2,150621,38.3719,,S
315,0,2,"Martin, Mr. James",male,67.15,2,1,425457,6.7073,B81,S
316,0,2,"Brown, Mr. John",male,,0,0,686055,11.6157,,S
317,0,2,"White, Mr. George",male,37.58,0,0,519015,10.2392,,S
318,0,3,"Davis, Mr. William",male,18.59,0,0,132207,9.0585,,S
319,0,2,"Jackson, Master. Thomas",male,,0,0,724959,23.9343,,S
320,0,3,"Robinson, Mrs. Alice",female,,0,0,57808,13.0568,F40,C
321,1,3,"White, Miss. Mary",female,10.79,0,0,239997,13.0596,,C
322,0,3,"Martinez, Master. James",male,6.19,1,0,118122,3.4285,,S
323,0,2,"Davis, Mr. Edward",male,52.39,1,2,517471,11.2631,,S
324,0,3,"Robinson, Mr. John",male,28.55,0,0,693766,26.9085,,S
325,0,3,"White, Mr. John",male,29.94,0,0,653403,24.639,,S
326,0,3,"Johnson, Mr. Charles",male,20.98,0,0,147931,10.9718,,S
327,0,3,"Thomas, Mr. Robert",male,22.75,1,0,349927,19.829,,S
328,1,3,"Robinson, Miss. Emily",female,37.54,1,1,154841,14.9916,,S
329,0,3,"Moore, Mr. Charles",male,,0,0,349269,21.3307,,Q
330,1,2,"Taylor, Mr. John",male,36.9,1,0,237996,30.5632,,S
331,0,3,"Jackson, Mr. Edward",male,22.45,0,0,742990,11.6452,D109,C
332,1,1,"Moore, Miss. Alice",female,33.55,0,0,753400,106.1118,E63,S
333,0,3,"Martinez, Master. Frank",male,6.71,1,0,820205,15.6983,,S
334,0,3,"Miller, Master. James",male,0.42,0,1,208349,11.8773,,Q
335,1,1,"Thompson, Mrs. Emily",female,34.6,0,0,23360,61.5717,,S
336,0,3,"Jackson, Mr. Robert",male,25.73,0,0,45021,34.3471,,S
337,0,1,"Brown, Mr. Charles",male,,0,0,845048,72.8916,,Q
338,0,3,"Martin, Mrs. Elizabeth",female,24.55,0,0,906803,18.999,,S
339,1,1,"Anderson, Mr. Thomas",male,38.7,0,0,219647,200.1946,,S
340,0,3,"Jones, Master. Robert",male,0.42,0,0,877554,17.2863,D57,S
341,1,1,"Jones, Mr. Thomas",male,26.1,0,0,534446,102.7107,,S
342,1,3,"Anderson, Mr. Thomas",male,30.29,1,0,192970,11.9397,,S
343,1,3,"Martinez, Miss. Alice",female,,0,2,319803,15.8976,,S
344,0,3,"Johnson, Master. William",male,10.0,2,0,272688,9.4037,,C
345,0,3,"Anderson, Mr. William",male,27.06,0,0,765984,56.0762,,S
346,0,3,"Smith, Mr. Thomas",male,38.29,0,0,196671,3.5081,C20,S
347,1,3,"Davis, Mr. Frank",male,35.1,0,0,191237,10.5274,,S
348,0,2,"Martinez, Mr. George",male,28.76,1,0,722338,26.1624,,S
349,0,3,"White, Mr. James",male,,0,0,309180,16.7621,C121,Q
